actors,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,year,movies
Dong-yeong Kim,7.2,6.59718875502008,6.975851763299462,2014.0,1
Dong-wook Kim,7.3,6.46608557844691,6.944984699081944,2017.0,1
Dong-won Heo,6.9,6.216473000683527,6.544067007910655,2019.0,1
Dong-soo Seo,7.3,6.421090473337328,6.777107414716663,2012.0,1
Dong-mi Shin,7.2,6.59718875502008,6.975851763299462,2014.0,1
Dong-jun Kim,6.7,6.320255863539446,6.341602067183462,2012.0,1
Dong-hak Han,7.3,6.7088779750661125,7.113541545274444,2010.0,1
Dong-Won Gang,5.6,5.794174757281553,5.54552697473253,2020.0,1
Dong-Heon Yeom,7.3,6.822673031026253,7.162495702990719,2010.0,1
Dong Han,7.1,6.60612151667428,6.900256812669425,2013.0,1
Donder In t' Hooi,8.1,7.319413092550791,7.9567465914433475,2014.0,1
